,0,1
350,30.0,-90869.11715077443
351,30.0,-90801.08674241064
352,30.0,-77197.5498632469
353,30.0,-77194.70017817627
354,30.0,-77215.3460607478
355,30.0,-77133.22506849839
356,30.0,-90841.92403017842
357,30.0,-77161.27561392261
358,30.0,-77196.91782006274
359,30.0,-77292.3466861772
360,31.0,-21744.82906228376
361,31.0,-35413.90747733836
362,31.0,-35604.26615481775
363,31.0,-35752.39818239652
364,31.0,-36043.02170553891
365,31.0,-35968.79215313272
366,31.0,-21979.61870114027
367,31.0,-21901.33077002361
368,31.0,-21716.096520665145
369,31.0,-21814.63838621782
370,31.0,-21876.232462002197
371,31.0,-22110.023530176033
372,32.0,-20233.45795019389
373,32.0,-62319.78519668708
374,32.0,-48300.229152445325
375,32.0,-48085.99477019026
376,32.0,-48202.88227175191
377,32.0,-62380.38122788927
378,32.0,-48296.64895502715
379,32.0,-34090.90797046481
380,32.0,-34034.219920673095
381,32.0,-34163.40671114551
382,32.0,-34331.00366013268
383,32.0,-34056.42940640621
384,33.0,-24080.85022102247
385,33.0,-38265.409449970175
386,33.0,-38150.02786628774
387,33.0,-38064.403155192325
388,33.0,-38070.86204513148
389,33.0,-37934.75878492322
390,33.0,-37896.674151987805
391,33.0,-37943.024256158045
392,33.0,-37922.74442525016
393,33.0,-37977.40777922251
394,33.0,-37948.52887338406
395,33.0,-37898.52520098996
396,34.0,-9157.934872865677
397,34.0,-22850.210683388304
398,34.0,-22972.080080294552
399,34.0,-9019.547908961773
400,34.0,-9040.10770893097
401,34.0,-9206.06072729826
402,34.0,-9088.88879930973
403,34.0,-9101.65545797348
404,34.0,-9151.501470267773
405,34.0,-9069.037795424461
406,34.0,-9262.536200940609
407,34.0,-9288.94537305832
408,35.0,-40768.828701806684
409,35.0,-40404.798967523195
410,35.0,-40435.410142285116
411,35.0,-40353.608150954475
412,35.0,-40392.104214314415
413,35.0,-40351.10713287391
414,35.0,-40314.36504920952
415,35.0,-40341.138432016
416,35.0,-40245.328201376484
417,35.0,-40040.830743784376
418,35.0,-39885.32746729275
419,35.0,-39928.07375160493
420,36.0,-37930.33152179625
421,36.0,-51604.26319950897
422,36.0,-37674.95402327427
423,36.0,-23783.09458254217
424,36.0,-23872.879816739325
425,36.0,-23894.25090017382
426,36.0,-23917.8988100534
427,36.0,-24139.878147511117
428,36.0,-23974.313341166388
429,36.0,-37996.49980609248
430,36.0,-51745.02523585767
431,36.0,-38050.84479711488
432,37.0,-25606.606639379002
433,37.0,-38901.411775995046
434,37.0,-38730.84130777285
435,37.0,-38660.23048228354
436,37.0,-24884.133159933517
437,37.0,-24776.834545402904
438,37.0,-24771.328608410753
439,37.0,-38710.86816333632
440,37.0,-24434.149362713833
441,37.0,-52370.35663337809
442,37.0,-66685.55801785043
443,37.0,-52488.17195764974
444,38.0,-22812.987254136428
445,38.0,-22245.913142841637
446,38.0,-22209.374631413702
447,38.0,-22120.950598728734
448,38.0,-21894.24039195115
449,38.0,-22004.507735669784
450,38.0,-22085.167435353935
451,38.0,-22028.15504792694
452,38.0,-22215.09106545983
453,38.0,-22181.1507095482
454,38.0,-22233.31227132387
455,38.0,-22224.550103356927
456,39.0,-7010.342842757702
457,39.0,-20638.342988479624
458,39.0,-20357.54498835456
459,39.0,-20536.790477336504
460,39.0,-34517.17999276044
461,39.0,-20474.256758398453
462,39.0,-20474.58921466807
463,39.0,-20498.993155288106
464,39.0,-20496.462918256526
465,39.0,-20493.479663263435
466,39.0,-20444.715268615593
467,39.0,-20444.475512908604
468,40.0,-6891.015888571739
469,40.0,-6341.752582907677
470,40.0,-6426.942811727524
471,40.0,-6340.563877940178
472,40.0,-6227.265445113182
473,40.0,-6324.482668757439
474,40.0,-6280.31893324852
475,40.0,-6267.777453184128
476,40.0,-6271.22176361084
477,40.0,-6222.997129678726
478,40.0,-6265.444294333458
479,40.0,-6146.878596663475
480,41.0,-7689.28270560503
481,41.0,-21442.081990010956
482,41.0,-21432.856096887692
483,41.0,-21482.127424697195
484,41.0,-21427.6750744143
485,41.0,-21466.434524231852
486,41.0,-21440.720923799217
487,41.0,-21481.52426996648
488,41.0,-21433.567218709883
489,41.0,-21367.11896752069
490,41.0,-21442.48851768092
491,41.0,-21398.66783190328
492,42.0,-24535.98294297196
493,42.0,-24316.206429485625
494,42.0,-24301.71194105206
495,42.0,-24362.534086729
496,42.0,-24241.118919539636
497,42.0,-24198.577987604775
498,42.0,-24202.893615545916
499,42.0,-24273.879781924996
500,42.0,-24288.019934511325
501,42.0,-10546.531493484974
502,42.0,-10506.802723526955
503,42.0,-10567.593027025461
504,43.0,-8670.252104967833
505,43.0,-36338.710203108814
506,43.0,-50610.582364215676
507,43.0,-22100.054462781987
508,43.0,-36440.62512142697
509,43.0,-36349.607778572245
510,43.0,-22122.00738842017
511,43.0,-50024.55312664865
512,43.0,-35975.653484775394
513,43.0,-22257.985423522157
514,43.0,-36301.04751124146
515,43.0,-8110.893123269081
516,44.0,-10231.453212022781
517,44.0,-9792.269676744938
518,44.0,-9750.97564202547
519,44.0,-9714.780671268702
520,44.0,-23493.932505862296
521,44.0,-23719.27418676739
522,44.0,-9746.963956326246
523,44.0,-9704.527333199978
524,44.0,-9750.173221200705
525,44.0,-9736.306749105453
526,44.0,-9750.198335170746
527,44.0,-9677.406730622053
528,45.0,-21891.06053855683
529,45.0,-21461.967968833113
530,45.0,-49506.946104756
531,45.0,-49458.7445220973
532,45.0,-49417.70082901967
533,45.0,-49465.315869538026
534,45.0,-49381.05614605519
535,45.0,-49403.06257124895
536,45.0,-49375.40337423104
537,45.0,-49450.93292405564
538,45.0,-49409.701101411505
539,45.0,-35243.92547930523
540,46.0,-7527.079080313444
541,46.0,-20922.84380354368
542,46.0,-20941.87463023526
543,46.0,-7168.290207207203
544,46.0,-7195.268015682697
545,46.0,-7213.718116104603
546,46.0,-7210.690674602985
547,46.0,-7303.918299198151
548,46.0,-34657.37548318114
549,46.0,-21015.905058180302
550,46.0,-7252.450491905212
551,46.0,-7294.009754180908
552,47.0,-8282.070752501488
553,47.0,-8002.226985514164
554,47.0,-8055.272654116154
555,47.0,-7991.3160980939865
556,47.0,-7966.060616493225
557,47.0,-8042.914149880409
558,47.0,-7985.105692565441
559,47.0,-7973.524731218815
560,47.0,-21972.97086577908
561,47.0,-21973.866203957514
562,47.0,-8142.884449183941
563,47.0,-8115.518371284008
564,48.0,-19719.330106140886
565,48.0,-33156.269840397326
566,48.0,-33176.447261785455
567,48.0,-33164.56416075934
568,48.0,-33096.0278872683
569,48.0,-19418.74184246455
570,48.0,-33130.080234778856
571,48.0,-33138.229959131844
572,48.0,-33146.08860126681
573,48.0,-33146.98163676718
574,48.0,-33202.67716092204
575,48.0,-33134.82216230329
576,49.0,-22851.571251821602
577,49.0,-8686.267203062773
578,49.0,-8662.91203480959
579,49.0,-8669.563819736242
580,49.0,-8677.546294152737
581,49.0,-8648.062411516905
582,49.0,-8602.050560683012
583,49.0,-8603.185852140188
584,49.0,-8584.028813958168
585,49.0,-8612.157033503056
586,49.0,-8513.03896588087
587,49.0,-8484.060562074184
588,50.0,-9123.242452859879
589,50.0,-8480.986743837595
590,50.0,-8542.875815600157
591,50.0,-8584.087011635303
592,50.0,-8625.705907016993
593,50.0,-8654.611915767193
594,50.0,-8640.918913304806
595,50.0,-8660.403996825218
596,50.0,-8668.757947802544
597,50.0,-8599.218887358904
598,50.0,-8498.547404527664
599,50.0,-8498.690884828568
600,51.0,-20438.44386735894
601,51.0,-20161.155509438817
602,51.0,-20175.481296359685
603,51.0,-20226.402087453054
604,51.0,-20172.807307388517
605,51.0,-20186.223220552416
606,51.0,-20261.472862017286
607,51.0,-20283.505990967155
608,51.0,-20218.78877003398
609,51.0,-20226.151424419204
610,51.0,-20220.635501588025
611,51.0,-20207.91595128068
612,52.0,-8721.663833081722
613,52.0,-22478.640641934348
614,52.0,-22512.496610430248
615,52.0,-22556.300878341346
616,52.0,-8654.642107605934
617,52.0,-22487.067631642116
618,52.0,-22593.530700325347
619,52.0,-8620.68026316166
620,52.0,-22577.47507591605
621,52.0,-22564.86750792562
622,52.0,-22566.679319366354
623,52.0,-22578.955208945794
624,53.0,-38240.18871279752
625,53.0,-51726.945416673574
626,53.0,-24210.280993171044
627,53.0,-24259.829411645078
628,53.0,-38131.60309233029
629,53.0,-24287.262529054016
630,53.0,-24256.747617740584
631,53.0,-24198.120979135383
632,53.0,-38121.834550768566
633,53.0,-38074.29839408194
634,53.0,-24109.854913634877
635,53.0,-24073.452626894115
636,54.0,-7429.831953167915
637,54.0,-7415.190032541752
638,54.0,-7430.648556172848
639,54.0,-7436.229436516762
640,54.0,-7414.106799185276
641,54.0,-7451.615934789181
642,54.0,-7480.351414501667
643,54.0,-7426.935780763626
644,54.0,-7374.838259637356
645,54.0,-7490.801198899746
646,54.0,-7425.131014406681
647,54.0,-7395.076903522015
648,55.0,-8878.333774328232
649,55.0,-8879.06639289856
650,55.0,-8912.849755108356
651,55.0,-8880.67287516594
652,55.0,-8893.002451777458
653,55.0,-8831.937559366226
654,55.0,-8832.071831643581
655,55.0,-8703.63152962923
656,55.0,-8582.654376745224
657,55.0,-8545.418825566769
658,55.0,-8560.277977406979
659,55.0,-8547.71296274662
660,56.0,-20268.87112402595
661,56.0,-20017.59525653848
662,56.0,-20027.263376399693
663,56.0,-20008.432574596016
664,56.0,-33975.25419364938
665,56.0,-20069.094561137746
666,56.0,-20122.964269734075
667,56.0,-20103.24054881295
668,56.0,-20058.670601900027
669,56.0,-19984.8770241991
670,56.0,-19938.66136204383
671,56.0,-19939.281893011626
672,57.0,-5079.953950613737
673,57.0,-4755.766031563282
674,57.0,-4720.1739047169685
675,57.0,-4703.68734267354
676,57.0,-4713.760499328375
677,57.0,-4717.060750544071
678,57.0,-4730.527728617191
679,57.0,-4811.170773178339
